stiffness,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0,theta0
0.76,12.26311645,12.36926747,12.74090707,13.62444517,15.32058581,17.24860763,19.8190092,22.08640362,24.80940895,22.66834289,20.6232307,18.63923349,16.78298413,15.13908306,13.93340703,13.03567641,12.30444633,37.5071468
0.76,5.613379742,6.867994773,8.516453121,10.52661299,13.38783556,15.56240789,18.76744313,21.76534993,24.77061762,22.92975576,20.9457566,18.51314486,16.98582046,15.18485925,13.96946801,12.76350493,12.12319405,37.82255176
0.76,12.12319405,12.60234801,12.91987716,13.66138327,15.25929028,17.66728434,19.37005689,21.97544767,24.94441604,23.20201271,21.05558643,19.05625589,17.04351552,15.00819934,14.04998279,13.1376503,12.52548891,37.82255176
0.76,12.52548891,12.58207014,13.00173323,13.9553275,15.43713204,17.36049313,19.73022733,21.99807123,25.08985237,22.86993905,21.09530626,18.91096845,17.05760079,15.2288213,14.43946448,13.38913389,12.61375777,37.82255176
0.76,6.236506185,7.29297137,8.785464158,10.89693973,13.64129099,16.46654698,19.25694769,22.6077568,24.88639916,23.1087568,20.65518717,19.01843985,17.24358802,15.94476053,15.00046948,13.91880619,12.79026529,37.26327921
0.76,12.79026529,12.65004587,13.32173568,13.95888805,15.6816904,17.80378363,20.0512327,22.58217445,25.14831758,23.33171127,21.13201797,19.04503116,17.50985007,15.97530198,14.94044803,13.83584199,12.76104837,37.26327921
0.76,12.76104837,13.17005907,13.57981077,14.6100599,15.99840605,17.96713627,20.29085623,22.75181139,25.54424332,23.23445025,21.36936119,19.29170255,17.4428788,15.86675861,15.29487406,13.85985794,13.35000159,37.26327921
0.94,7.946791238,9.794893131,11.47044742,13.20555818,15.46172687,17.46071384,20.80920769,23.21066878,25.42659943,23.99519885,22.8182791,20.36118848,18.82323888,17.41681095,15.89831166,14.82559765,14.19834793,38.01616826
0.94,14.19834793,14.13591877,15.10338418,16.25608216,18.13742028,19.56847976,21.00145243,22.83554613,25.25471017,24.17280736,22.42731104,20.29875895,18.68688618,17.47526824,15.67153865,14.79913592,14.03993721,38.01616826
0.94,14.03993721,14.24666592,15.02098063,16.21940234,18.32782005,19.31140949,20.90450451,22.64258417,25.38772034,24.41052702,22.37924087,20.29261939,18.83271947,17.32469968,16.0227711,14.47928386,14.25213773,38.01616826
0.94,8.562304526,10.12226758,11.65201841,13.683877,15.86834758,18.246783,21.20797628,23.09683634,25.60612591,23.79240412,21.80386699,19.47154941,17.96091013,17.01178064,15.70109329,14.77246145,14.00824672,37.5079683
0.94,14.00824672,14.24042529,14.70833128,16.12488745,17.92196982,19.43632961,21.37431972,23.57934926,26.00339862,23.96858282,21.88892976,19.75153773,18.29855167,16.74758873,15.56654967,15.01259222,14.21396894,37.5079683
0.94,14.21396894,14.39047891,15.02984283,16.37821977,17.62825311,19.50001876,21.4239205,23.69730523,26.29837659,24.07892096,22.13100746,19.7624854,18.25558127,17.28185809,15.68330816,15.09835324,14.34244461,37.5079683
0.94,9.543030289,10.50871454,12.15155973,14.08503561,16.4015215,18.52738046,21.10063721,23.24368551,25.65056206,23.93100894,22.292819,20.11308324,18.33331774,17.32523397,16.04114618,15.26353048,14.60675635,38.4846379
0.94,14.60675635,14.7547758,15.49365273,16.30077392,18.38332331,19.62912398,21.54013872,23.44865425,25.79159591,24.20046884,22.43774791,20.22633636,18.75677212,17.55900926,16.1458529,15.35982696,15.05022538,38.4846379
0.94,15.05022538,15.08340042,15.43095269,16.80372558,18.27653345,19.89491888,21.64571381,23.27533852,25.79055696,24.31546095,22.47133949,20.25206042,18.86771754,17.20583588,16.36201338,15.57666431,14.78513921,38.4846379
1.17,7.894712933,8.958275526,10.02121406,11.43189972,13.31242853,15.39046548,17.97165073,21.42861234,24.07517662,22.77597031,20.88369135,18.56276723,17.31407017,16.40624437,15.6201124,14.5311646,13.86190666,37.46542325
1.17,13.86190666,14.4995529,14.86205643,15.56300149,16.24073235,18.08684543,20.12238846,22.04591346,24.50330922,23.561955,21.4507659,19.43849615,17.66817918,16.67097419,15.49132937,14.8932056,14.26373845,37.46542325
1.17,14.26373845,14.40560265,15.05588013,15.81850308,16.45607893,18.51092064,20.27890862,22.1217891,24.65305998,23.68818673,21.5174704,19.56474329,17.95164104,16.98019536,15.52111056,14.89228183,14.70939806,37.46542325
1.17,7.080241649,8.238343177,9.467420718,11.03035136,12.87521435,15.30897271,18.5365408,21.52761867,24.14414264,22.76162784,20.72687444,18.73359715,17.07750868,16.14090305,15.11367321,14.52878032,13.34743616,37.41052044
1.17,13.34743616,13.71105313,14.35151544,14.88624503,16.5915714,17.90644518,19.9268161,22.07638209,24.7848043,23.01567282,21.3276347,19.09350644,17.57217487,16.24676963,15.35727823,14.48243734,14.0191091,37.41052044
1.17,14.0191091,14.02306077,14.45151923,15.16274116,16.65518033,18.12696069,20.08657303,22.16227701,24.68765653,23.46750831,21.55853821,18.93171786,17.58327017,16.60309984,15.22235769,14.70439062,13.87136302,37.41052044
1.17,8.348158485,9.503472609,10.87122744,12.55150645,14.44240117,16.67269328,19.55230107,21.84674506,24.95374657,23.48293439,21.67577984,19.62163805,17.32522224,15.92999922,15.00198346,14.14501943,13.40205479,37.73664546
1.17,13.40205479,13.88019757,14.77030178,15.19575808,16.35963556,18.4075781,20.25049622,22.83282137,25.37958509,24.0374446,22.04866881,19.71243597,17.32426378,16.12533469,15.26025736,14.31267667,13.70871794,37.73664546
1.17,13.70871794,14.13158906,14.95674987,15.59206264,16.63736156,18.31407812,20.34265709,23.18360354,25.37142634,24.29080645,22.20285796,20.1492807,17.75842807,16.4095066,15.31168393,14.25997304,13.98490507,37.73664546
1.94,13.96825009,14.63471002,16.02921085,17.70122203,20.17439469,22.32437715,24.51723606,26.97140862,28.82926132,27.91756337,26.51317928,24.89978209,23.56679048,22.5018634,21.53114838,20.90664776,20.52860019,42.37907505
1.94,20.52860019,20.6146153,20.9961927,21.4549472,22.47737993,23.79577113,25.52423026,27.1804071,28.86871355,28.10035661,26.67124124,25.0160203,23.72842674,22.68949156,21.7107658,21.14679704,20.85687584,42.37907505
1.94,20.85687584,20.74922601,21.33621709,21.78398352,22.46554913,23.74001048,25.42290331,27.47087198,29.02182955,28.29126172,26.84618377,24.99895195,23.7265758,22.90999185,22.12539992,21.33907416,21.15693517,42.37907505
1.94,13.78223807,14.93702232,16.12929092,18.00472378,20.14233014,22.14466742,24.10013503,27.32205757,28.78404156,28.10781487,26.74829666,25.10691389,23.63388552,22.66968467,22.0976917,21.35915388,21.32175923,41.23748148
1.94,21.32175923,21.46861231,21.55551117,21.89259776,22.66551939,23.81838736,25.63795502,27.45232042,28.95998433,28.38063673,27.07515737,25.59036063,24.05127932,22.80454047,22.03546009,21.50510203,21.39954121,41.23748148
1.94,21.39954121,21.39021301,21.72711017,21.9208658,22.68237732,23.9770928,25.86399227,27.47936697,29.0018699,28.42780633,26.82236075,25.71982591,24.12003216,23.1472976,21.90348938,21.51224376,21.42149634,41.23748148
1.94,14.17961609,15.16791211,16.51448533,18.26983222,20.2168527,22.31016893,24.73033532,26.96437247,28.75145107,28.01108247,27.00628829,25.26388658,24.25714967,23.14451677,22.13771506,21.49716718,21.37516923,40.5402264
1.94,21.37516923,21.24411393,21.56116497,22.35334778,23.25178338,23.99664305,25.85450541,27.68547231,29.4236136,28.60799972,27.32088681,25.92976532,24.37582428,23.26579226,22.32350858,21.75719947,21.55112022,40.5402264
1.94,21.55112022,21.57227714,21.87871473,22.44835594,23.35816718,24.53395856,26.02100778,27.89096968,29.39819946,28.6787408,27.19751568,25.91263351,24.81295436,23.49600959,22.71334471,22.11199932,21.86828295,40.5402264
2.44,16.87559905,17.5977596,19.01549728,20.22942264,21.58096204,23.30736457,25.36175099,27.7920242,30.62088235,29.91104312,28.34779223,26.80012451,25.77686251,24.92744024,23.89542366,23.31945721,23.20576575,43.03147161
2.44,23.20576575,23.26748227,23.62717885,23.91997144,24.89301252,25.88782619,27.24300614,29.03311446,30.3543894,29.884672,28.63712414,26.80012451,25.99973004,25.17147946,24.11484354,23.37472505,23.28653106,43.03147161
2.44,23.28653106,23.64310903,23.69661512,24.2286588,25.00861703,25.83224218,27.37526128,28.88051474,30.67971272,30.0504409,28.94189706,26.98068134,26.02270039,25.08527523,24.23077309,23.67807827,23.41904232,43.03147161
2.44,16.67443154,17.51933755,18.68735689,20.25608168,21.79897856,23.32450048,25.70838305,28.12672487,30.10448349,29.42461151,28.34154884,26.88171538,26.15964893,24.92970723,24.06813235,23.21820071,22.83118351,43.22325812
2.44,22.83118351,23.09987353,23.4952986,23.93683967,24.68116694,25.66569537,27.17610513,28.88249874,30.01709075,29.76050056,28.52791165,27.2123838,26.14002071,24.97946873,23.85418993,23.32380868,22.90940583,43.22325812
2.44,22.90940583,23.08206197,23.40160155,23.7935444,24.78695611,25.61694008,26.98392217,28.76354219,30.15035775,29.66406165,28.52198194,27.33542286,26.13835945,25.12764229,24.10638869,23.42256942,22.76875187,43.22325812
2.44,17.55429057,18.2615815,19.44003483,20.79099558,22.81965114,24.46317369,26.50177879,29.00665361,30.37131367,30.07917787,28.88456842,27.94074278,26.98856902,26.04445517,24.98578463,24.40780917,24.03082915,43.08181192
2.44,24.03082915,24.30061566,24.4268084,25.24066567,25.96671674,26.74496427,28.60351041,29.43515609,30.81991742,30.12864562,29.31217965,28.3812183,26.97110829,26.01879965,25.09068135,24.5588116,24.08088559,43.08181192
2.44,24.08088559,24.31052105,24.83852659,25.53042862,26.22532032,27.18399118,28.49183884,29.49872624,30.83808127,30.34980298,29.49788204,28.44431079,27.14335516,26.12121531,25.4007384,24.51523164,24.21567708,43.08181192
