stiffness,theta0,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
0.25,45.90818135,15.1943423,16.28667595,17.66376867,19.1508987,20.73891573,22.99939455,26.6407339,29.67140637,32.9798231,30.48007169,27.72611944,24.74504406,21.83787982,20.45677231,18.48986723,16.89483204,15.58473885
0.25,45.90818135,15.58473885,16.16496717,16.9171365,18.85045505,21.34057237,23.71959144,26.6130778,29.44482304,33.39776409,30.49950335,27.81869727,24.95675579,21.94657392,20.57453204,18.67531592,16.91902547,15.53157388
0.25,47.40242343,13.95547715,14.6996839,16.51113027,18.04863009,19.53153033,22.34377666,25.89019644,28.78480576,32.6184626,29.87551609,27.05205974,24.23628355,22.21113589,20.20947873,18.20167768,16.90261321,15.63031116
0.25,47.40242343,15.63031116,15.66334442,16.6732701,18.62412821,21.41809327,23.34864121,26.34717641,29.17125533,32.73980105,30.35301603,28.0377728,24.42498348,21.57283548,19.81692046,18.65957593,17.15975857,15.55173304
0.25,47.40242343,15.55173304,15.58670651,17.21772156,18.48957122,21.28620757,24.22435674,26.28751918,29.64368831,32.92515459,30.37098936,27.74429281,25.27006256,22.43872994,20.32363012,18.65305337,17.70156489,15.90656594
0.25,45.4522407,13.52316065,14.45596561,15.76721595,17.79376926,19.22745588,21.64934077,24.85048645,28.34366184,32.3172133,30.12931491,26.8778713,24.06899425,21.34665854,20.66953556,18.39446724,16.79137736,15.38046317
0.25,45.4522407,15.38046317,15.71329295,17.22803871,18.54804889,21.39290337,23.26928849,26.01639579,29.28470373,32.34960547,29.45252565,26.62562514,24.16490475,21.92887466,20.05844277,18.34369061,17.05548381,15.95936213
0.25,45.4522407,15.95936213,16.05586103,17.08301324,19.18550457,20.89421349,23.29114542,25.72070801,29.35953178,32.50960818,29.79993323,26.56390781,24.20333133,22.1959298,20.28277034,18.02829991,17.07921669,15.61048883
0.44,36.63886524,13.88686357,15.41080889,16.31589212,17.79470978,19.16247802,21.29320955,23.89417938,27.6825226,30.37300606,28.07695585,25.62384727,23.40195557,21.57309408,20.38889166,18.01503464,16.77287244,16.21167429
0.44,36.63886524,16.21167429,16.57566018,17.37974577,19.01614904,20.28921839,22.95237345,25.3350853,28.17300053,31.31158995,29.01321235,26.41444066,23.49778847,22.20065285,19.87820656,18.69162737,16.91598612,16.19168489
0.44,36.63886524,16.19168489,17.25546527,18.15326045,19.02321213,20.80119888,22.89427899,25.29448682,28.42957731,30.72770208,28.78582535,26.50218859,23.80957895,22.17898426,20.48720403,18.63116648,17.28832464,16.64371171
0.44,34.23394468,15.5417349,16.14469486,17.03154676,18.03569552,19.9778002,22.50425669,25.1396747,28.49929417,31.93101753,29.3689357,27.1906719,24.20934352,22.39260909,20.48025749,18.83585442,17.66265542,16.59810439
0.44,34.23394468,16.59810439,17.20595245,18.46200288,19.77355834,22.00180254,24.15163545,26.60048277,29.6095364,32.23670811,29.79124647,27.30817268,25.03708673,22.79623148,20.77946232,18.97686087,17.59455966,16.543297
0.44,34.23394468,16.543297,17.94920698,19.04006614,20.29442444,22.36626486,23.92721919,27.07116268,29.70268144,32.81274171,29.8750657,27.84211295,25.3518435,22.82703073,21.51134466,19.38604556,17.95559526,17.10837317
0.44,34.63765629,14.63610075,14.47986551,16.12517529,17.73156207,19.61116786,22.4460983,25.55870833,29.82961791,32.38299762,29.55164799,27.4339253,24.15840243,22.17702799,20.28924069,18.11874702,16.26365449,15.57346633
0.44,34.63765629,15.57346633,16.03058373,17.40460169,19.53019965,21.79080409,24.37984953,26.77956419,29.32286202,32.61062675,30.4790662,27.50079646,24.4977424,22.04645138,20.34616081,18.92031718,16.80843116,15.6331304
0.44,34.63765629,15.6331304,16.16858627,17.91111531,19.74812949,21.89888271,23.9814998,26.28255686,29.61207224,32.87866986,30.79996068,27.48798755,25.38079686,22.7470002,20.60460693,19.13177482,16.55020729,15.66854126
0.51,44.94225096,16.01881555,16.74944808,17.96161542,19.32660554,20.96187562,23.45366957,25.70668126,30.23032213,33.72417683,31.48041281,28.96308635,26.68079251,24.07181892,22.75840419,21.16324902,19.28986589,18.61338838
0.51,44.94225096,18.61338838,18.40758113,19.57465545,20.74379393,23.13829412,25.30384511,27.53713459,30.53847099,33.60219123,31.65056959,29.41986427,26.36162431,24.88912994,22.53482481,21.5577558,20.06351103,18.51239538
0.51,44.94225096,18.51239538,17.94802584,19.5333853,21.25280628,23.24290279,25.45793614,28.33876995,30.79633421,33.58455986,31.54272075,28.80158138,26.5065802,24.459119,22.76353614,21.50169654,19.83473343,19.03315704
0.51,45.64997882,19.12625144,20.25074971,21.77074687,23.23642649,24.59794945,26.6783145,29.27473217,33.8088892,37.04524519,34.76874726,32.7762782,30.19085091,27.42646936,25.86405956,24.03249444,22.48082551,21.45894649
0.51,45.64997882,21.45894649,21.39279394,22.52591636,23.99556677,26.09068797,29.18894027,32.29861039,34.51142527,37.25760333,35.28896898,32.74018458,30.03349757,27.77741374,26.0108738,23.74693195,22.62444454,21.45063086
0.51,45.64997882,21.45063086,21.95300674,23.09460331,24.18259563,26.27029568,29.03669086,31.59880731,34.61654064,37.11197542,35.06774886,32.65663343,29.89352896,27.70379197,26.03578108,24.39214208,22.73492268,21.76748999
0.51,43.98050842,15.89200289,16.57679077,18.11226191,20.16044424,22.35540322,24.10596663,26.9060076,30.99935997,33.73054105,32.01210912,29.54460791,27.68625067,25.49450972,23.47754462,21.42912954,20.13046574,19.16607631
0.51,43.98050842,19.16607631,19.80626235,20.65005007,21.53889576,24.03945363,26.3042167,28.51763185,30.96055842,34.25130659,32.33273205,30.25362263,27.43175047,25.19470321,23.02760299,22.05239237,20.17987178,19.79669824
0.51,43.98050842,19.79669824,19.44938455,20.79280922,21.77271388,23.94885112,26.23001447,28.76063185,31.10628236,34.10104897,32.38670817,30.38226623,27.78215483,25.82154211,23.38991571,21.38123507,20.50187615,19.83201624
0.85,39.35524191,20.12167071,20.89511193,21.58759456,23.87218359,24.73984122,25.79683957,28.20076204,30.61912098,33.43806854,32.11797656,29.89064819,28.54512314,26.78868137,25.40572875,23.18527409,21.94823935,21.34378748
0.85,39.35524191,21.34378748,21.51013028,22.49667406,24.01995107,25.70816672,27.71832096,29.41638809,31.76694507,33.4982355,31.95369814,30.14205574,28.85836224,26.91950048,25.12132988,23.31366628,22.02822666,21.39872266
0.85,39.35524191,21.39872266,21.75455343,22.98549604,24.36213362,25.94580583,27.86115483,29.56862282,31.5782823,33.17523217,31.8447829,30.52002143,28.62361638,26.6398024,24.67118561,23.32134313,22.11459425,21.55826496
0.85,39.97392446,20.41828578,21.28760014,22.71401622,23.91051756,24.80810269,26.44724714,28.68963057,31.85820314,33.83773688,32.08141819,31.00953961,29.04236258,26.91686777,25.45872921,23.91582551,22.65224459,22.16837569
0.85,39.97392446,22.16837569,22.23271614,23.08093757,24.87736448,26.26761236,28.64278621,30.75463784,32.26129269,34.24499501,32.16045958,31.16730441,28.95515845,27.21069288,25.58259898,23.83232243,22.97017747,21.90647436
0.85,39.97392446,21.90647436,22.74969241,23.70667437,25.04509213,26.84170479,28.46285759,30.68528286,32.32441312,34.37634625,32.77126222,30.80261902,29.12649195,27.3484451,25.41689757,23.73052553,22.86866366,22.46748367
0.85,39.93458804,19.89354222,20.78249072,21.9244089,23.33638388,24.50608504,26.28403871,28.22189612,30.71278614,32.8423842,31.4337702,30.25658266,27.31987154,26.11298432,24.5573205,23.10433258,22.26746264,21.91869817
0.85,39.93458804,21.91869817,22.26694564,22.89744406,24.43868696,25.92384513,27.45911097,29.06937502,31.20429389,33.38164553,31.74725166,30.46636163,28.53010165,26.76603507,25.16906436,23.68014116,22.90194594,22.44598018
0.85,39.93458804,22.44598018,22.46857643,23.20032378,24.28295663,26.15249299,27.734622,29.21230586,31.00035939,33.50094913,32.28264524,30.15907188,28.41990027,26.86168195,25.67096464,23.94749496,23.11478728,22.32591193
1.19,38.91135707,20.46063306,21.0345604,22.28095163,23.635604,25.23703316,27.43891457,29.41271553,32.82052769,36.16676115,34.47555892,31.94571704,29.5505046,27.28439422,25.18502622,23.66676279,23.11446539,22.6216056
1.19,38.91135707,22.6216056,22.95343348,23.71224136,25.24413741,26.69428444,28.66518353,31.02749986,33.61382528,36.26331547,34.81378911,32.33747467,29.53866229,27.65596117,25.33360768,24.13232282,23.02190629,22.96702406
1.19,38.91135707,22.96702406,22.93745479,23.54692972,25.23323926,26.65622499,28.77918405,31.14650364,34.12966479,36.54345937,34.11294356,32.29693741,29.81869445,27.39711054,25.37407337,23.83968927,23.5137469,22.68100979
1.19,39.06741448,17.01238917,18.05512515,18.76617691,19.89724146,21.56619388,23.66165587,26.0995264,29.87283579,32.57430134,30.82295014,28.70696963,26.65948624,25.52957276,23.40468955,21.80269416,20.92521901,20.48415674
1.19,39.06741448,20.48415674,20.96585644,21.53675522,22.77156742,23.91085566,26.40960877,28.26778852,30.22643925,32.99324282,30.7121087,29.30180876,27.05685522,25.06735896,23.61742454,22.55471462,20.92086622,20.54358625
1.19,39.06741448,20.54358625,20.83492961,21.5934689,22.54030294,24.47225566,26.00249658,28.65344534,30.5455789,33.11797009,31.35211836,29.04086554,27.13889565,25.35553644,23.55921429,22.52031785,21.18914083,20.55905142
1.19,39.19699384,18.58370667,19.66378501,20.20534849,21.52532931,22.83213398,24.9691485,27.43046507,30.69503004,32.87734117,31.50056494,29.61750589,27.549014,25.38905915,23.47368499,22.45660917,21.89790897,21.38017171
1.19,39.19699384,21.38017171,21.43847354,22.22613067,23.52120142,25.3607664,27.33328999,28.48873261,31.15558262,33.30513004,31.64607629,29.82306878,27.45250988,25.71353456,23.79195797,22.67470105,21.79321959,21.09549066
1.19,39.19699384,21.09549066,21.62678649,22.59208348,23.73412917,25.70269346,27.1793744,29.20063585,31.05262917,33.5239842,31.97473727,29.61398386,27.42908079,25.27796662,24.07055505,22.5256296,22.2750222,21.35890638
1.43,39.14059989,19.53822791,20.34243837,21.34784191,22.26133967,23.6962334,25.16136272,27.71231004,31.28214033,34.45931917,33.17225119,31.37684128,29.3221334,28.19914284,27.01119149,25.66202003,24.78496844,24.77409247
1.43,39.14059989,24.77409247,24.26450026,24.94493742,25.39359775,26.81847524,28.48450848,30.07122579,32.28958157,34.94037138,33.17697483,31.72921512,29.94360855,28.47278702,27.07534455,25.7889482,25.19883403,24.46192219
1.43,39.14059989,24.46192219,24.51412452,25.14768072,25.62285191,26.74062013,28.30559705,30.31421655,32.24120917,35.13753064,32.83181738,31.5443908,29.20010093,28.16641556,26.46914954,25.44737928,25.23809322,24.33869067
1.43,39.37903256,18.38870527,19.29694274,20.39233275,21.76607764,23.34648249,24.84368948,26.95011239,30.90237019,33.33406763,31.93494194,30.12742495,28.18517674,27.37985304,25.06719401,24.35049489,23.30584074,23.15855006
1.43,39.37903256,23.15855006,23.29390376,23.53991302,24.94978767,25.63784709,27.66382126,29.15156485,30.79600934,33.05873324,32.29251842,30.38347694,28.53905038,27.0017887,25.97145781,24.3095326,23.74065561,23.18091126
1.43,39.37903256,23.18091126,23.34945591,24.16852652,24.69438393,25.92126357,27.1285711,29.63344561,31.23517748,33.79078751,32.32280103,30.23586275,28.96540206,27.47072469,25.73845621,24.46777785,23.3864467,23.24715712
1.43,39.45460259,21.87055662,22.81792759,23.90267981,25.35770231,26.80745529,28.80138617,30.53326344,33.6103667,35.75394018,34.7476191,32.83209764,30.73067366,29.27457855,27.87042306,26.26891516,25.72383369,24.27061517
1.43,39.45460259,24.27061517,24.61998414,25.38691668,26.47984025,28.08878153,29.9872017,31.73147818,33.44982837,35.39873545,34.51891456,33.02989459,31.07321084,30.04138259,28.12329707,26.45108213,25.39756514,24.53631441
1.43,39.45460259,24.53631441,24.97964529,25.36032346,27.00244894,28.20475825,29.63179146,32.15246527,33.78872027,35.72783693,34.92187691,33.42995327,31.03306067,29.34210678,27.78535016,26.40830184,25.5929778,24.14877925
2.47,38.38843828,21.37157989,22.97864628,24.08299099,25.33409074,26.18042429,27.74709396,29.19767301,31.05944441,33.93992542,32.84304525,32.10014981,30.43324827,28.89005036,27.61665271,26.47954718,25.20051029,24.79529305
2.47,38.38843828,24.79529305,25.17610785,25.38267011,26.52959401,27.90441806,29.21664646,31.10663591,32.27765937,34.60880642,33.34040913,32.20893238,30.65747816,29.21019351,28.1965267,26.63410853,25.77190857,25.00288171
2.47,38.38843828,25.00288171,25.29092138,25.66103506,26.45604617,28.30444812,29.35167678,31.25257592,32.26702529,34.40174124,33.38718468,32.57116908,30.79723206,29.91036662,28.30882005,26.47698778,25.63094517,24.99532763
2.47,39.23045906,21.31816781,22.78717943,24.00420597,25.08400107,25.87452245,27.68245323,29.51441886,32.41633171,35.44069027,34.44599626,33.12059642,31.52957885,30.58025637,29.1850617,27.94967895,26.50101371,26.24870567
2.47,39.23045906,26.24870567,26.09223719,26.9097966,27.8378714,28.985238,30.36124318,31.85792495,33.64897439,35.98491839,34.80395609,33.56959209,32.04953444,30.57785494,29.19733573,27.92849128,27.12710273,26.22660272
2.47,39.23045906,26.22660272,26.51792326,26.58210424,28.36457099,28.69550815,30.94999656,32.18669145,34.08465834,36.02065676,34.7160791,33.91938899,32.07791516,30.75089526,28.79661918,27.96295378,26.92240869,26.69096621
2.47,38.98376157,22.52838118,23.36323839,24.60758419,25.5053889,26.31320381,27.99553974,29.66403361,31.9041068,35.59334615,34.98303774,34.19325049,32.19668366,30.83353802,29.77775074,28.89338469,28.61637439,27.02387501
2.47,38.98376157,27.02387501,27.49558897,28.01617046,28.77037488,29.61684864,31.21703122,32.17725441,33.80793926,35.77344781,35.00790834,33.55951832,31.81018166,31.32425138,29.59944863,28.64702759,28.76205673,27.40726081
2.47,38.98376157,27.40726081,28.01998634,28.19703884,28.76900041,29.84961409,30.81067036,32.48714466,33.7961216,35.60703535,34.96001403,33.642656,32.04912592,30.72972341,30.0187735,29.10117574,27.88414151,27.38184345
2.59,40.26340481,20.66406426,21.75060981,22.63772902,24.51245116,25.46490259,27.52075724,28.87120249,30.31818959,34.495963,33.56631873,32.74523757,30.95236685,29.77329155,28.46592686,27.85121435,26.77496218,26.21945124
2.59,40.26340481,26.21945124,26.31098412,27.20454772,27.65620914,29.07657118,30.46368717,31.922203,33.64142935,35.19027275,34.01061672,33.27776605,31.4502104,29.84919728,28.63560109,27.89003926,27.57433206,26.69390547
2.59,40.26340481,26.69390547,26.36023385,27.63164123,28.18065005,29.42562542,30.94954476,32.24430089,33.88354308,35.2605368,34.43309403,33.30916825,31.58229773,30.36481912,29.12080193,27.74888154,26.81069892,26.81732785
2.59,39.44090126,21.97295322,23.01546927,23.97194844,25.31456358,27.11285594,28.46547404,30.18932029,32.06870023,34.04113925,33.6461249,32.46877498,30.57361097,29.3244473,27.95958688,26.70167515,25.9771487,25.38353268
2.59,39.44090126,25.38353268,25.20851449,25.9244153,27.04805996,28.27458222,30.39315596,31.60360901,33.05053491,34.89980633,33.79327155,32.212823,31.16646131,29.5761936,28.72680589,27.02158842,26.17126605,25.55104961
2.59,39.44090126,25.55104961,26.06662018,26.16858893,27.42637323,28.60559706,30.39971501,31.7426174,33.5049666,34.57296209,33.84824003,32.7876524,30.88549872,29.99035322,28.19519693,26.81297975,25.96053546,25.64531596
2.59,38.84541108,21.77730877,22.55474494,24.57362165,25.51172253,27.00030111,28.23059895,30.06228047,32.32951136,34.50964496,33.21609374,32.03314163,30.06723763,28.7907018,27.89321976,26.93273074,25.57322729,25.63400417
2.59,38.84541108,25.63400417,25.60405483,26.18815379,27.20580147,28.58883706,30.50873119,31.14409692,33.1278476,34.92842624,33.80228656,32.59080537,30.32558653,29.77825536,28.36089814,27.19394035,25.54646434,25.76752735
2.59,38.84541108,25.76752735,25.90179552,26.33269259,27.13340554,28.99382254,30.1725832,31.24386003,33.54635139,34.95496743,33.88330858,32.5424512,30.54296327,29.52524087,28.30232098,27.06619795,25.89743989,25.9355396
