stiffness,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0
0.35,17.16914345,17.88223871,19.49404762,22.05644982,24.47533098,27.55829084,30.46082934,33.50036547,36.25649815,35.06748291,32.87461546,29.81587975,27.01705076,23.4811232,21.26087527,18.95529682,17.18412769
0.35,12.27228685,14.6316848,16.93049302,19.9965067,23.09286047,26.3746229,28.87497064,33.33725928,36.09838833,34.18370069,31.79985487,29.36283647,26.30036226,23.08911712,20.36899638,17.75039621,15.98812974
0.35,15.98812974,16.84782512,18.85644447,21.35962432,23.82867215,27.44635094,30.26410579,32.67841893,35.81829347,34.02102749,31.78045294,29.28547531,26.47292063,23.18733479,20.81076695,18.14722551,16.33451386
0.35,16.33451386,16.98654735,19.03727618,21.78083714,24.17847265,27.55670923,30.58872182,33.13804282,36.07576351,34.1150558,32.1870069,29.64391333,26.66141664,23.69511938,20.86900732,18.23466747,16.72751426
0.35,12.33649127,13.68316834,15.82747831,17.51356265,18.97002947,21.59330973,26.42209398,28.47197358,33.18783702,31.52498911,28.61098878,25.85705713,23.66171781,21.18557868,19.04016658,16.25251347,14.46652547
0.35,14.46652547,15.16011483,17.10294183,18.90115484,20.94634638,23.79124441,26.42813252,29.55240014,32.77155071,30.87963977,28.35199689,26.00725061,24.19441876,21.66661584,18.92565479,16.6331603,14.89222216
0.35,14.89222216,15.68361586,17.53109039,19.48792829,21.59597597,24.11149177,26.75506927,29.87915003,32.98613997,31.33499003,28.93375368,26.43024007,24.55190841,22.08128696,19.12314932,16.80758693,15.16692681
0.44,13.57468795,15.73566127,18.24376413,20.3527516,23.76144742,26.71209301,29.86103736,34.26544516,36.79821013,35.31837875,32.92394817,29.86399273,27.63085576,24.81175334,21.91192139,19.21313866,18.04388854
0.44,18.04388854,18.6874311,20.57547685,22.2658045,24.3341357,27.79428733,30.47559898,33.14082806,36.01898881,34.65679335,32.43995585,29.61275297,27.38231418,24.85128996,22.11305359,19.50868516,18.26625636
0.44,18.26625636,18.90628046,20.62066454,22.18678935,24.35756319,27.73698541,30.51218589,33.20031975,35.99490992,34.85721743,32.38988415,29.55482353,27.30541765,24.84685069,22.13799295,19.70093014,18.26686559
0.44,14.74711693,15.80580635,18.31657335,20.40286664,23.87726149,26.48937029,29.22860637,33.25236278,35.97482704,34.30240682,32.50185394,29.92800999,27.37416546,25.14273749,22.31452605,19.78357346,18.29819464
0.44,18.29819464,19.05291551,20.11517498,21.9546123,24.71548946,27.57708276,30.04731406,32.82244544,35.60351027,34.2301053,32.15783666,29.8481389,27.36925808,24.83567409,22.48453104,19.60354621,18.32295608
0.44,18.32295608,18.9789463,20.28552586,22.14029245,24.63011807,27.67168434,30.24305784,32.7078154,35.79098531,34.43034231,32.46377184,29.98828849,27.60913929,24.79211632,22.79977492,19.86304329,18.37348733
0.44,14.64640752,15.4276967,17.90768611,18.83212114,21.48274581,23.93826392,28.79251768,30.84204072,33.68220212,32.33507638,30.01125612,27.29172613,25.81969847,23.85336366,21.93231961,19.37396683,18.06871468
0.44,18.06871468,18.60456999,19.84570173,21.2840035,23.17499782,25.5435125,27.81648658,30.58656366,33.41084699,32.44376811,29.98574322,27.21039159,25.75988411,24.04257952,22.10353975,19.56827799,18.25425318
0.44,18.25425318,18.81387306,19.73606193,21.43462767,23.37747311,25.59933741,27.87306762,30.61646967,33.42424783,32.44342087,29.98787571,27.41231094,25.79869018,24.1151577,22.31316364,19.5612275,18.23885181
0.74,16.43480873,18.2182531,19.68410444,21.40929506,23.79311872,25.61938133,28.43414296,32.012904,34.61922187,33.30769717,31.20333296,29.11994564,27.29653005,25.56751131,23.62585407,21.92341956,20.02541541
0.74,20.02541541,20.6450286,21.93569678,23.6735437,25.56300047,27.21684682,29.42920796,31.70999918,34.33577804,32.92865068,30.91874712,28.89750126,27.35981945,25.6576869,23.73908675,21.55870818,20.20994923
0.74,20.20994923,20.5116545,22.16575119,24.16620826,25.60063906,27.76793056,29.69584822,31.83670318,34.58369849,33.35749913,30.89058472,29.21831404,27.77197543,25.98492306,23.97387679,22.11681459,20.31483387
0.74,16.39822095,18.20047116,20.20555437,21.86899188,23.80876204,25.59981041,28.17553578,30.65503998,34.38275745,32.85602449,30.77493188,28.8817415,26.99395492,25.1465976,23.16431786,21.46529967,19.78447969
0.74,19.78447969,20.18576669,21.30705545,23.3148159,24.99587166,26.90338009,28.86609344,31.24642174,34.02496297,32.24805695,30.02834073,28.21322052,26.72920548,24.77250701,23.26340788,21.68476493,20.04453849
0.74,20.04453849,20.56019684,21.47785605,23.32058912,25.0566982,26.91872202,29.22276339,31.3127799,35.80658237,34.25356812,31.9933926,30.1933458,28.36524069,26.33852465,23.96205779,22.03016172,20.45674875
0.74,16.62565727,17.93463641,19.65354605,21.61590629,23.2660593,25.24104205,28.07886948,31.64306794,34.39532443,32.78135474,30.60970149,28.6133041,26.86460035,24.78186203,22.74744117,20.84286779,19.77080745
0.74,19.77080745,20.05227287,21.39662667,23.1815951,25.0299509,26.84645419,29.03309692,31.62983197,34.29709589,32.73479913,30.29220586,28.27373077,26.79017819,24.9308532,23.26014972,21.12429273,19.82403434
0.74,19.82403434,20.3322114,21.51597315,23.43333395,25.30373476,27.07132365,29.14785363,31.84277367,34.42772383,32.77118175,30.36738002,28.40660045,26.77392348,25.03102806,23.28498797,21.28465995,20.03354962
0.92,19.13990627,20.55320831,22.75489653,25.33980436,27.26093376,29.53172606,31.93327096,36.00516176,40.18920481,38.13812885,36.00576592,33.14304804,30.79879969,28.47733398,26.58035496,24.71767868,23.42585351
0.92,23.42585351,23.69396753,24.69854328,26.63539879,28.75913117,31.49398192,33.64414585,36.29597361,39.6426707,37.63791248,35.81967305,33.03028475,30.55907772,28.38568867,26.19412628,24.60296171,23.48197099
0.92,23.48197099,23.93508152,24.97588128,26.73388199,28.90180328,31.57694025,34.06625617,36.51196672,39.68583264,37.69864885,35.79461619,33.10592491,30.99652705,28.44600138,26.46898214,24.90513147,23.68739286
0.92,16.54339435,17.93785173,19.49672694,21.87887052,23.47373477,25.95639973,28.68250276,32.90271181,35.64465862,34.00607118,32.322694,30.51962576,28.84750009,26.50081417,24.29738327,22.34260356,20.76478902
0.92,20.76478902,21.28910444,22.90592915,25.20580439,27.31984633,29.17981444,31.39450464,33.86622986,36.89302497,35.00983711,33.11142444,31.24938383,29.33216091,27.19127002,24.56886979,22.36480796,21.59614252
0.92,21.59614252,21.83287439,23.33986965,25.39369668,27.87361577,29.97612261,31.84055925,34.2059979,37.36164262,35.55970721,33.64319792,31.65646714,29.93874726,27.36886417,24.65964872,23.09923275,21.95516812
0.92,17.38160442,18.11716707,19.84822839,21.7660612,23.61168387,25.95590214,29.89197262,32.3052106,34.99050892,33.46031716,31.25334345,28.96321945,26.95954299,25.36769398,23.32294426,22.08864672,20.08065536
0.92,20.08065536,20.64137618,21.74938932,24.04903247,25.6702569,27.43200475,29.73888852,32.51716282,35.27280209,33.81214298,31.42808729,29.02372416,27.19096724,25.14532733,23.91645563,21.63980946,20.79737033
0.92,20.79737033,20.98375256,22.48888546,24.18397503,25.75071278,27.9023634,30.1515568,32.70712686,35.69485158,34.02789151,31.77484778,29.45675762,27.60416446,25.58361052,24.16417214,22.06023748,20.9583285
1.14,18.3531287,19.0111556,20.44899505,22.55476963,24.60834218,26.79674272,30.40689051,33.14073984,35.73095825,34.4208119,32.15081415,30.11579176,28.39037565,26.75994522,25.28260806,24.15697942,23.69800603
1.14,23.69800603,23.81640432,24.30679072,24.95412039,26.30232495,28.23741471,30.48112051,33.2258176,35.4947933,34.23412336,31.97609123,29.6825429,27.95182146,27.06119273,25.11101783,24.04570313,23.72915231
1.14,23.72915231,23.90471116,24.26768769,25.00941506,26.2269272,28.27608601,30.54423075,32.91552637,35.70810678,34.45827764,32.35361458,29.7603585,28.04927287,26.87158244,25.32207414,24.17355677,23.79782425
1.14,18.4095088,19.33221167,21.22322701,23.24411742,25.29447915,27.54095559,31.82466014,33.59749474,36.14543139,34.98988826,32.83073779,30.74498278,28.95997914,27.386816,26.01885079,24.97164503,24.62451017
1.14,24.62451017,24.79779468,25.16045618,26.03324006,27.36507604,29.07821528,31.07219438,33.2542722,36.2514048,35.04806979,32.66100465,30.517301,29.14300535,27.13993068,26.03514191,24.94944729,24.45646216
1.14,24.45646216,24.78131898,25.08698472,25.77354206,27.22852473,28.90463473,30.90263941,33.39709094,36.16934339,35.04801731,32.67760084,30.44128099,28.86279435,27.38481942,26.01489995,24.9290906,24.54874329
1.14,18.13911802,18.39151739,19.89278416,21.15169895,24.0277516,26.2091927,29.56673733,32.72631239,35.01252845,34.09552231,31.97739206,29.857215,28.48112281,26.47651472,25.06724541,23.72626643,23.04849696
1.14,23.04849696,23.34059114,23.79705813,24.5027075,26.51480096,28.34933971,30.440493,32.72710038,35.49609479,34.49559309,32.4118234,30.04410446,28.65208476,27.05983363,25.37808443,24.10738293,23.28054449
1.14,23.28054449,23.48607789,23.77646558,24.95530673,26.49677721,28.4465382,30.74409199,32.75444023,35.31847804,34.41376128,32.46922987,30.25167162,28.67369154,27.36430172,25.64300189,24.46205739,23.57315541
1.96,21.86737538,21.99247313,22.93656507,24.21254534,25.64840716,27.49159126,29.67940237,34.95450155,37.39638177,36.34741796,34.58640976,32.69973085,31.29663054,30.06452352,29.08903454,28.34878058,27.98628658
1.96,27.98628658,28.0243019,28.32986756,28.95790148,29.83883601,30.77472695,32.68408201,35.08432825,37.41037986,36.46755792,34.82513399,32.91238769,31.43921548,30.5310093,29.60834123,28.97076617,28.72595943
1.96,28.72595943,28.82181606,29.0102205,29.58542463,30.20776633,31.20227305,33.07510452,35.24076864,37.79685387,36.76219458,35.13459191,32.95039478,31.76308713,30.78283679,30.00470617,29.35645892,29.10551786
1.96,20.78991299,21.26229962,22.6986081,23.8412154,25.71116268,27.81351894,30.60156089,33.71664545,36.16404719,35.14904903,33.56268808,31.83917527,30.32115859,29.2210511,27.99987664,27.06277586,26.78460995
1.96,26.78460995,26.80386948,27.15865186,27.94266684,28.7550294,29.81603234,31.78929102,33.8322906,36.29841958,35.1975455,33.75240026,31.78398515,30.5296585,29.41123418,27.79527267,27.32550327,26.8240191
1.96,26.8240191,27.07006031,27.28936969,28.01862615,28.88600828,29.88888243,31.86145213,34.04703001,36.25274913,35.11315971,33.82448891,31.93748753,30.44997143,29.19067325,28.04068113,27.30590359,26.92087644
1.96,22.47677805,23.11464559,24.05752499,25.34631477,26.81317329,28.70829563,30.55689683,33.29578921,38.13594033,36.48527482,35.06798686,33.467861,32.23003591,30.95496555,29.73785781,28.84715311,28.34917333
1.96,28.34917333,28.44802412,28.61953273,29.47339648,30.47561935,31.48215372,33.52491787,35.81806514,38.36967349,36.81067761,35.40214938,33.93222443,32.7263857,31.49544556,30.50749583,29.29932491,28.18481565
1.96,28.18481565,28.24335745,28.93443397,29.812051,30.66260676,31.97367865,33.70237107,35.9530823,38.72384293,36.89593463,35.67725601,34.32374509,33.04332032,31.81282191,30.81597177,29.49066049,28.51756454
2.32,23.15167731,23.41602772,24.36628597,25.91376419,27.68867307,29.37814478,31.42933931,33.43148589,36.27128401,35.59520607,34.27795722,32.62781417,31.92532685,30.43770305,29.4932617,28.76543458,28.30460275
2.32,28.30460275,28.51463867,28.85819728,29.52625942,30.18633172,31.45498811,33.12991561,34.83467294,36.72809845,35.67840125,34.58605887,33.11331773,31.94486019,31.01861439,29.7432566,28.88488805,28.5378651
2.32,28.5378651,28.74377464,29.09177386,29.51679813,30.3586457,31.38473145,32.73959075,34.84842077,36.52809081,35.48119428,34.32604958,32.99705293,31.83629241,30.77915392,29.89508025,29.05472945,28.68596723
2.32,22.5204244,23.93180127,25.67186161,27.6613181,29.18279959,30.72291554,32.5617118,34.44314865,37.71354349,35.96262073,34.7138746,33.58350945,32.34757296,30.85671479,29.41042703,28.57834793,27.75311045
2.32,27.75311045,27.88301521,28.44900665,29.20288946,30.36066646,31.91445716,33.39994297,35.41678978,38.00309598,36.08058264,34.48363174,33.28507288,32.21032399,30.75306024,29.41095315,28.46742439,27.90254712
2.32,27.90254712,28.01729323,28.65464209,29.35072153,30.58238343,31.89953038,33.56498521,35.28986872,38.20692179,36.22439443,34.56479281,33.4096941,32.29092,30.76251529,29.7084793,28.41235772,27.9788118
2.32,20.47743515,21.83871032,23.03822182,24.6193723,26.24877591,28.31394624,29.91994247,32.9072244,34.97714686,33.52684465,32.1530409,30.47433493,29.22998797,27.99399015,26.96475925,26.15236282,25.58503302
2.32,25.58503302,25.75400944,26.32536111,27.09812104,27.87034586,28.86966038,30.89800089,32.86149131,34.52955648,33.49886305,32.12935846,30.27318143,29.11444823,28.28686761,27.28448839,26.36012594,25.98323258
2.32,25.98323258,26.31910021,26.67639187,27.54654366,28.43711838,29.61432818,31.33284302,33.04809809,34.41009664,33.41643438,32.13337142,30.30479199,29.20187474,28.40725602,27.19248765,26.37714526,26.09379644
