stiffness,p0,p10,p20,p30,p40,p50,p60,p70,max80,d70,d60,d50,d40,d30,d20,d10,d0,theta0
0.43,2.536139984,3.851294088,5.332303868,6.575653372,8.611500604,10.9265967,13.80066729,17.33297545,20.49606764,18.9295922,16.78816399,14.6528848,12.26916958,10.02876109,8.375123507,7.073311574,5.884636415,38.06628982
0.43,5.884636415,6.688372992,7.660675975,8.90885823,10.29857146,12.49844751,15.21336012,18.15132236,21.18537426,19.55875782,17.30247563,15.28909746,12.68934433,10.96497271,8.683222847,7.687724924,6.3537306,38.06628982
0.43,6.3537306,7.232474728,7.96195442,9.180652181,11.04872679,12.92270817,15.50655127,18.55276119,21.49863306,19.68768696,17.82646665,15.72970236,13.36977739,11.47331206,9.054471421,7.778786236,6.85575606,38.06628982
0.43,2.341485739,3.515618177,4.95212279,6.734223256,8.402048467,10.72982158,14.45471901,18.37664463,21.54571305,20.01185553,17.9108018,15.67564021,13.72907416,11.53618463,10.23174932,8.66292668,7.960053488,37.71810938
0.43,7.960053488,8.374378903,9.395233681,10.60236929,12.43007905,14.40392516,16.7919479,19.32766793,22.38123288,20.79749834,18.68864522,16.26151036,14.57461608,12.42586569,10.63651894,9.254275687,8.129024797,37.71810938
0.43,8.129024797,8.795814028,9.63056789,10.82911577,12.67599241,14.5735524,16.97765162,19.92506905,22.7765887,21.07818723,18.96251936,16.52206255,14.70828571,12.55511477,10.68434057,9.278154107,8.4075483,37.71810938
0.43,2.919791471,4.604042143,6.676510846,8.76091262,11.6969589,14.42221615,17.26125504,19.78791907,22.85023169,21.3854345,19.2282894,17.02079714,15.1427041,13.16364927,10.97127961,9.200508609,8.233127604,37.4441498
0.43,8.233127604,8.67231375,9.540105775,11.01509886,13.18278089,15.45780554,18.2132029,20.78532199,23.67223402,22.20151729,20.0369892,17.16526865,15.5878993,13.51432176,11.64458109,9.572368338,8.871053592,37.4441498
0.43,8.871053592,9.182222953,9.92623749,11.69342138,13.43382495,15.65822689,18.26818031,20.87363016,23.57677913,22.01265991,19.78035508,17.79169529,15.91634224,13.60494045,11.47621969,9.950483482,9.020406001,37.4441498
0.69,5.796211958,7.141639504,8.99726153,11.20971665,13.33165755,15.83254304,18.56717503,21.68591983,24.16462898,22.59499075,20.65333868,18.37104643,16.47815689,14.79671405,13.57157629,11.92444426,10.93424796,36.88009452
0.69,10.93424796,11.35009016,12.45337276,13.939777,15.63664365,17.41985812,19.46826757,22.11184238,25.01895622,23.39407248,21.35674464,18.76115417,16.83129519,15.22087613,13.73618168,12.15906602,11.17677233,36.88009452
0.69,11.17677233,11.61083268,12.75476852,14.35287495,16.09241702,17.63684308,19.83120814,22.19646197,24.96470008,23.3619623,21.2025002,18.95459113,16.94951939,15.38463807,13.9236445,12.34646863,11.37735635,36.88009452
0.69,6.341390831,8.177163524,9.712402946,11.94518609,14.39913052,17.15735691,20.56255957,23.09590026,25.49192088,23.96909989,22.39553706,20.01086563,18.40669038,16.46436259,15.07923933,13.16689624,12.04826248,36.28929426
0.69,12.04826248,12.29297541,13.50458355,14.36214832,16.16073688,18.29021089,20.6112242,23.47429865,26.33818524,24.92352392,22.97034435,20.38340228,18.59839809,16.71143787,14.91332034,13.52013574,12.29169002,36.28929426
0.69,12.29169002,12.84686833,13.68336482,14.63938348,16.32967309,18.58152922,20.84412387,23.56187686,26.46488768,24.81721211,22.96279062,20.61759888,18.80270783,16.90562589,14.80288191,13.37729606,12.30652969,36.28929426
0.69,6.658470394,8.151189779,10.06626504,12.36450783,14.33463074,16.56860642,19.91862487,21.99745391,24.76582922,23.44582706,21.52167143,19.8301039,17.82193779,16.2322022,14.14524182,12.9694206,11.57224105,35.73746188
0.69,11.57224105,12.36895085,13.17599282,14.82123526,16.38397493,18.22479799,20.90975654,23.19582205,25.79304402,24.30838247,22.28413363,20.06032987,18.1542695,16.30094372,14.39951191,13.08877286,12.14024934,35.73746188
0.69,12.14024934,12.46444583,13.34010225,15.26571448,16.80426285,18.43947261,20.83242732,23.48397562,26.33446037,24.17951402,22.36084499,20.18022429,18.30209342,16.46988518,14.78649105,13.3023052,11.99927795,35.73746188
0.91,7.286718729,8.282343219,10.10379616,11.72287184,14.17497421,16.49208482,19.16395709,21.80991392,25.264495,23.48607914,21.94036946,20.48323087,19.17856849,17.56982889,16.08469268,14.81468472,13.31582149,39.76111718
0.91,13.31582149,13.85255554,15.39976696,16.54663408,18.4595424,20.09259754,22.18830497,23.59029187,26.46360582,24.87571378,23.1209078,21.45054572,19.68262754,17.95322034,16.54490364,15.06424766,13.78546412,39.76111718
0.91,13.78546412,14.28374022,15.55420909,17.11036532,18.7000939,20.18868938,22.44164132,24.2788284,27.11416231,24.95142416,23.34123625,21.57645615,19.8774221,18.21822235,16.71481105,14.97696143,13.85361457,39.76111718
0.91,8.297267081,9.847352065,11.86708765,14.42654263,16.49376152,18.52968247,21.22153919,23.70926444,26.57013675,25.07317824,23.28752742,21.12308095,20.08120772,18.77059688,16.92102466,15.56416052,14.38249961,39.36744055
0.91,14.38249961,14.70333615,15.6371483,17.01195859,18.80743811,20.33889731,22.38726679,24.80845184,27.55506445,25.75648199,23.95424415,22.18244647,20.62344768,18.90862815,17.3683678,16.01024795,14.96413142,39.36744055
0.91,14.96413142,15.17137129,16.2152098,17.43802167,18.59624791,20.58388651,22.60295086,25.42085047,27.69108309,26.21596675,24.1053606,22.04147921,20.69387845,18.7322345,17.5479671,15.91129279,15.01707739,39.36744055
0.91,9.851092722,11.61271658,13.72827428,16.15223887,18.21052266,20.70192491,22.92345675,25.32753246,28.35093088,27.0003231,24.62840857,22.66263548,21.38795652,19.99446411,18.53361591,17.05490408,15.71685187,38.67873514
0.91,15.71685187,15.9658721,17.17559679,18.89522172,20.56211074,22.0736827,24.57177182,26.59660645,29.27919775,27.47548784,25.34703725,23.32013033,21.86185079,20.52435626,18.80054615,17.20685222,16.09538322,38.67873514
0.91,16.09538322,16.39832597,17.63233021,19.44466069,21.17531668,22.69418749,24.95182256,27.12661464,29.6588345,27.72925405,25.92152858,23.97228613,22.26946643,20.55454591,18.8362422,17.61568974,16.19429728,38.67873514
1.09,10.06604556,12.1066441,13.7344685,15.70709494,17.70496869,19.92976696,22.60331529,25.45308885,28.29211383,26.82968411,24.97325837,23.3057478,21.7108593,19.82233238,18.71047404,17.58165598,16.64489764,40.69811784
1.09,16.64489764,16.64574115,17.36556934,19.08322637,20.3358954,22.28399238,24.38266254,26.92142339,29.49564161,27.84543352,26.4019849,24.09008679,22.06369827,20.58627551,19.28669782,17.81870208,16.6977051,40.69811784
1.09,16.6977051,17.3568377,17.91762591,19.35442094,21.10789214,22.75095677,25.18612968,27.49737791,29.95296529,28.48405011,26.57780717,24.45934764,22.68407371,20.78043347,19.40658933,17.9867131,17.52972409,40.69811784
1.09,10.89200508,13.0036976,14.81058013,16.97383349,19.09317414,20.72214385,22.8705355,25.16141205,27.97534614,26.29543955,24.07649852,22.40570638,20.92938075,19.44597699,17.90122023,16.26711849,15.5485454,40.35221083
1.09,15.5485454,15.80749287,17.04980856,18.88137967,20.30924544,21.93507463,23.82213447,25.85230845,28.48702493,27.03135235,24.60552608,22.62350173,21.35254561,19.63188396,18.2407051,16.53405504,15.68078158,40.35221083
1.09,15.68078158,15.97466947,17.14519603,18.89291666,20.5956504,22.38625505,24.05813243,26.10523539,28.67650569,27.41854677,25.30991094,23.20893729,21.23781168,20.01109136,18.60632532,16.81248345,16.13449149,40.35221083
1.09,7.776514619,9.284840394,11.12521294,12.85425225,15.21602644,17.34770169,19.68447595,21.93287645,24.6614462,23.14641654,21.66332399,19.52826008,17.57770066,16.27060182,14.47638309,13.06216561,12.69029877,40.44969448
1.09,12.69029877,13.02726396,13.5275678,14.96542712,16.69050509,18.38067967,20.17030848,22.71039269,25.40250243,24.21943515,22.19718432,19.84808993,17.84694855,16.24506975,14.61622609,13.2882465,12.94859314,40.44969448
1.09,12.94859314,13.29940083,14.0034063,15.39497948,16.85586107,18.25521324,20.03411522,22.51181526,25.10019233,24.10032089,22.02739815,19.86332015,17.83562214,16.33755192,14.80733517,13.7214333,13.1973079,40.44969448
1.85,9.735660818,10.86086977,12.73734072,14.68327743,16.89636383,19.09763822,21.74882348,23.76068945,25.79956801,24.53008347,23.33889264,21.93885617,20.52954507,19.01808299,17.37837996,16.25758511,15.24837013,40.19964784
1.85,15.24837013,15.34598967,15.9414453,17.17575605,18.76613298,20.36903595,22.28826681,24.54426199,27.30990637,25.66444611,24.39885193,22.86122514,21.13081444,19.61381936,17.8857549,17.07562348,16.25168542,40.19964784
1.85,16.25168542,16.4211843,16.90109497,17.78867614,19.41374743,21.12533933,23.03072748,25.0403171,27.37559742,26.12768396,24.62514821,23.05707851,21.74558232,20.15762298,18.36642812,17.34294495,16.75006064,40.19964784
1.85,9.655149498,10.65587705,12.40161116,14.19864815,16.49750157,18.43356718,20.87139351,23.03873523,25.11164337,23.57090973,22.29921377,20.93680329,19.43385474,18.19328482,16.51882109,15.41220631,15.08911395,38.66422421
1.85,15.08911395,14.97431898,15.52355827,16.85533319,18.24761194,19.42380314,21.31200212,23.31534213,25.46738197,24.09293952,22.99279065,21.48711392,20.13451632,18.64704834,17.15735255,15.92765761,15.28863445,38.66422421
1.85,15.28863445,15.49478717,16.03480607,17.11011194,18.1946376,19.60353907,21.33808394,23.53135061,26.00545183,24.37698539,23.07097608,21.78185893,20.23673992,18.79917547,17.44206312,16.18914105,15.40683438,38.66422421
1.85,10.7486027,12.02071481,13.41637338,15.28264242,17.48700367,19.57058178,21.91863238,23.84719232,25.85777237,25.34574844,24.38540538,22.64139394,21.24863031,19.6281348,17.7981752,16.793405,16.33196833,38.38005926
1.85,16.33196833,16.62736954,16.89157872,17.89277648,19.38366861,20.62104298,22.2459043,24.23147855,26.42537105,25.8017205,24.73047872,23.16049042,21.69812517,20.11147822,18.49312834,17.08383663,16.72045658,38.38005926
1.85,16.72045658,16.84594878,17.17846535,18.20086631,19.40912546,20.68121661,22.40130448,24.24379026,26.57203356,25.83925544,24.68086069,23.3920275,21.76746178,20.21905498,18.48455119,17.25313699,16.66310475,38.38005926
2.35,13.22682526,14.16923547,15.67115272,17.53047614,19.44638327,22.0493612,24.13992693,25.68130615,28.17441971,27.35829501,25.57915168,24.32227014,22.85203896,21.15843065,20.08090215,19.16003599,18.78039149,39.86647471
2.35,18.78039149,18.89030314,19.37566462,20.74715248,21.94386206,23.37918769,24.92948283,26.80883929,28.87021748,28.08337082,26.52125126,24.69866952,23.12772156,21.66675501,20.14494162,19.49566791,19.1530315,39.86647471
2.35,19.1530315,19.12228377,19.53536535,21.11423601,22.2556315,23.58858491,25.09574113,26.99318478,29.04504908,28.07292549,26.55030421,24.91428613,23.3414131,21.69111467,20.51568136,19.55573187,19.2979683,39.86647471
2.35,11.38067612,12.89710119,14.58242884,16.06928293,18.05349306,20.37265085,22.90412919,24.59710257,26.41269447,25.81297053,24.55203951,23.00475528,21.77939538,20.37119845,18.66785425,17.80211311,17.27792788,39.76496042
2.35,17.27792788,17.26653023,17.75922568,18.86114803,20.29751574,21.49875608,23.34009274,25.26718416,27.08848947,26.60642385,25.02496405,23.41514644,21.9509865,20.60718839,18.81433221,17.79213688,17.38657783,39.76496042
2.35,17.38657783,17.56735629,17.99731038,18.95542802,20.17509231,21.60461515,23.47118328,25.34471825,27.29399833,26.91709399,25.29878973,23.71850992,22.26254701,20.86886381,18.88786277,17.99141915,17.60716235,39.76496042
2.35,12.0526056,13.26044791,15.05983623,16.50016972,18.72953761,20.96343064,23.1233852,24.82150876,26.81390496,26.18272086,25.00621054,23.12989326,22.03780204,20.68526031,19.05500881,17.98355717,17.57916882,40.04322996
2.35,17.57916882,17.64741809,18.27682385,19.41419091,20.67287536,22.00060263,23.83000576,25.38555031,27.18458374,26.63024911,25.38848917,23.53703129,22.01417944,20.93619704,19.32400845,17.99132947,17.60832041,40.04322996
2.35,17.60832041,17.63630718,18.22711326,19.51811004,20.86360438,22.15915393,23.7364432,25.57847868,27.61580301,26.94591007,25.5610161,23.74235981,22.2997137,21.10318092,19.68181085,18.53991748,18.07440246,40.04322996
