stiffness,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,theta0
0.22,6.422858288,7.189138888,7.829611497,9.311153003,11.05581939,12.97023794,15.11496659,17.23946835,19.86847924,18.53438372,16.36392857,14.02990908,12.42790672,10.89008876,9.403605281,7.84553566,6.476308503,47.22154283
0.22,2.327557986,3.655201516,5.352360891,6.871724239,9.016663911,11.42191314,13.58634674,16.24463781,19.01076642,17.75517298,15.73300299,14.00879914,12.35291348,10.52711226,9.335393294,7.998388151,6.755233872,44.11598105
0.22,6.755233872,7.333799629,8.547651361,9.4580418,10.87130228,13.25578036,15.2680646,17.78446523,20.29243116,18.61910419,16.78288862,14.74401026,13.12483801,11.33269644,9.89243899,8.616605584,7.289164394,44.11598105
0.22,7.289164394,7.888741693,8.722710856,10.01535866,11.52580046,13.25732783,15.75102775,18.19296646,20.68489529,19.12790216,17.10859576,14.90189265,13.48648689,11.53677007,10.00005666,8.764641581,7.526107354,44.11598105
0.22,1.869048212,2.841580194,4.423015869,6.096025315,7.759354621,10.28258315,12.88112655,15.4114844,18.15207443,16.676473,14.45485503,12.34173723,10.90056813,8.998959577,7.908513555,6.410397567,5.773102707,43.82382729
0.22,5.833655725,6.445010984,7.731971177,9.308607736,11.27007226,12.53104069,14.772786,17.02281938,19.68554172,18.28957615,15.56049026,13.40531376,11.90034645,9.718513756,8.6070965,7.204411207,5.988057728,43.82382729
0.39,2.930608772,4.163721877,5.52922512,7.631190442,10.03140953,12.18669601,14.69621623,17.15511547,19.27863036,17.58019719,15.61161784,13.77657695,12.52059874,11.36746245,9.676918146,8.532012315,7.787629943,41.66679856
0.39,7.787629943,8.470686639,9.538923474,10.85372763,12.31064952,14.01681121,16.06793087,18.13542154,20.1570128,18.63125936,16.70177573,14.41800297,13.27001113,11.47644959,10.09848027,9.173644364,8.191401706,41.66679856
0.39,8.191401706,8.659712123,9.738318786,10.94580088,12.64426504,14.26636298,16.15421728,18.35258652,20.3008382,18.75662083,16.89881169,14.66552313,13.55360442,12.04667324,10.18604924,9.216521236,8.322614157,41.66679856
0.39,4.299893267,5.885325413,7.597370379,9.473234765,11.39983502,13.69734731,15.84586002,17.89542685,20.75058463,19.40366974,16.77022883,14.79870338,13.53153891,12.25353906,11.30753707,10.00932049,8.894279218,40.52640189
0.39,8.894279218,9.694089605,10.85670487,12.23479741,13.93929261,15.45596875,16.96840352,19.16657522,22.02717929,20.05227761,18.04939706,15.8591652,14.36513399,12.95770651,11.88701796,10.51007866,9.456510152,40.52640189
0.39,9.456510152,10.1657338,11.23850654,12.71442985,14.37130332,15.94423883,17.5592293,19.68048355,22.31229175,20.2509542,18.16867287,16.18926742,14.72775457,13.30630127,11.90842388,10.51046688,9.424418674,40.52640189
0.39,2.623834236,4.067463583,5.443623062,7.421596272,9.463207291,11.85988571,14.83915037,16.50313051,18.78666948,17.2637843,15.40473837,13.17677418,11.53168774,10.39456983,9.412887399,8.211392333,7.005610358,39.65844471
0.39,7.342939246,8.380993098,9.618090506,10.91300449,12.41965338,14.18303885,16.00400394,18.32345066,20.39616986,19.16108746,16.5514632,14.24217256,12.5305166,11.03843301,9.959661093,8.718180076,7.531084291,39.65844471
0.47,2.341712754,3.697888374,5.121804994,6.556189828,8.740926242,11.04998713,13.59018134,16.08910515,18.47860482,17.10555609,15.22765373,13.14913096,11.58683609,10.2301949,8.46756922,7.367992174,6.600464969,40.1721108
0.47,6.600464969,7.098439415,7.901493231,8.957488873,10.71814765,12.72187981,14.64481391,16.63867486,19.11743787,17.88205496,16.18659259,13.89892931,12.18207584,10.65721795,8.696158128,7.688173898,6.811482163,40.1721108
0.47,6.811482163,7.378664915,7.956438396,9.366254834,11.05488206,13.07949919,14.86062103,17.2247323,19.35988443,18.14439619,16.15183932,13.95685875,12.32468124,10.54439146,8.968740866,7.807684859,7.047687756,40.1721108
0.47,2.624473676,3.705413073,5.213061341,6.852455839,8.85519583,10.96406084,13.57540138,16.09878616,18.71682465,17.55094457,15.70427947,13.68465583,12.05800164,10.4917207,8.856764436,7.674686626,6.86109283,39.8497419
0.47,6.86109283,7.267954482,8.116173678,9.317594546,10.76964408,12.84872768,14.89171381,16.89607249,19.4428523,18.43236371,16.39389669,14.41749771,12.3923789,10.4220415,8.926301135,7.835002535,7.167271811,39.8497419
0.47,7.167271811,7.389822168,8.375154553,9.460783828,11.17443328,12.72748337,15.12999964,17.02996161,19.6158738,18.61475861,16.55161729,14.6207133,12.37848851,10.51587516,9.277702309,8.279360826,7.176534866,39.8497419
0.47,3.507209332,4.464235527,6.035968585,8.285948916,10.14892595,12.56393459,15.53144345,17.68637031,20.36412258,18.53295441,16.38449037,14.0453648,12.38770193,10.15557712,8.934316688,7.703642357,6.5698216,40.48442548
0.47,6.701235885,7.3420801,8.636065772,10.05614138,12.26383617,14.03078326,16.28186955,18.14212703,21.04704679,19.25619293,16.89848701,14.66562874,12.66707869,10.72218708,9.260566822,8.192403034,6.959401026,40.48442548
0.79,7.02248863,8.038164713,9.77911367,11.4127843,13.39753802,15.62051504,17.93061741,20.24429088,23.21613721,21.84079288,19.89873774,17.71476117,16.12306556,14.55772601,13.38161533,12.34865952,11.25401715,36.59741099
0.79,11.25401715,11.44541998,12.14318423,13.51967571,15.07676777,16.73749281,18.93965407,21.34391518,24.28726443,22.66340081,20.64656526,18.28901426,16.48580589,14.40721452,13.08794204,12.1539294,11.50509746,36.59741099
0.79,11.50509746,11.85040835,12.28074083,13.76053005,15.0661652,17.02675627,19.06109374,21.52861768,24.24105467,23.16449482,20.79263201,18.59710539,16.78294915,14.76347064,13.34556979,12.64833539,11.79752846,36.59741099
0.79,6.721835303,7.674601359,9.317200881,11.01101287,13.07181577,14.88058578,17.1049189,19.26502305,21.87657702,20.46452022,18.31519916,16.82774245,14.82803288,13.60183609,12.34741263,11.4182274,10.22598943,36.36968362
0.79,10.22598943,10.57153549,11.81063355,13.22186096,15.17624397,16.82518457,18.54887758,20.25238125,22.49855378,21.28831312,19.03279249,17.11420333,15.43659183,14.0719588,12.75981502,11.55052579,10.93099315,36.36968362
0.79,10.93099315,10.93011249,11.80757114,13.06546653,14.82667358,16.58586917,18.6088395,20.47412513,22.47606346,21.32381292,19.51287804,17.40227742,15.79442003,14.35469479,13.13128999,12.1214671,11.03428934,36.36968362
0.79,5.810909954,6.916407491,8.34491921,9.926935479,11.64732683,14.00392157,16.51800842,18.91662586,21.4519343,20.43899208,18.46522475,16.45716676,15.01444848,13.61163467,12.30257637,11.62156078,10.67185635,36.83269975
0.79,11.13018781,11.04659274,12.00834956,12.84334998,14.43445338,16.08314231,17.58440861,19.77675272,22.33664548,21.17996197,19.41109506,17.48090334,15.75770996,14.325861,12.7966099,12.20990641,11.22311666,36.83269975
0.97,10.52226763,11.55158291,13.15929592,14.92784153,16.47912428,19.03099722,21.48584486,24.40488959,27.40090189,26.09549226,23.97920357,22.09249476,20.32055382,18.8882034,18.16472704,17.0698236,16.1844678,38.23783225
0.97,16.1844678,16.33230048,17.12568831,17.849673,19.31558403,20.62583769,22.66253033,24.84099401,27.60631286,26.46353358,24.0994401,21.80736664,20.38208121,18.98564166,17.77025041,16.88197183,16.12898285,38.23783225
0.97,16.12898285,16.20146898,16.78962552,17.8899012,18.85138384,20.77338538,22.52790433,25.04960771,27.68087564,26.56602499,24.33008798,22.30078496,20.5501494,19.22380505,18.15480105,17.1265249,16.24616882,38.23783225
0.97,8.501740166,9.247351929,10.48147778,12.16901304,13.68617863,15.42088761,17.37716693,19.45183069,22.0805725,20.97720202,19.19977604,17.27488167,16.09309804,14.52477325,13.680688,12.9859499,12.23544309,38.18587446
0.97,12.23544309,12.61491418,13.46633131,14.19892658,15.19338576,16.59689495,18.24199988,19.79002879,22.50570327,21.69887286,20.16219269,18.16071839,16.91275121,15.21660691,13.96982946,13.25455212,12.65639438,38.18587446
0.97,12.65639438,12.87479708,13.82895084,14.44900649,15.96727411,17.06952271,18.29926515,20.3947058,22.8367018,21.60985953,20.1383583,18.29621942,16.86261537,15.53516301,14.45230475,13.4738649,12.79990879,38.18587446
0.97,9.089926237,10.1578589,11.51947884,13.51025404,15.23772011,17.82271299,20.24092289,22.40795373,25.00926635,23.68949408,21.85443913,19.76882375,18.35817083,17.12509767,16.01368089,15.11480581,13.4380729,38.96685801
0.97,13.88197788,14.65056073,15.61923965,16.57370981,18.05019241,19.30628917,21.25967166,23.30542709,25.36374713,24.5078055,22.90292979,20.63983053,19.02455867,18.10841471,16.59401439,15.34487023,14.27931669,38.96685801
1.17,12.02859301,13.09996431,14.3092616,16.08982673,17.44888206,19.35706893,21.68294247,23.63061803,26.24420439,25.34378606,23.85286568,22.05914119,20.59443053,19.18403923,18.01036736,17.17164051,16.52611023,42.69715015
1.17,16.52611023,16.65933888,17.0139406,17.83800457,18.96586176,20.40395803,22.17037227,24.39691727,26.80149549,25.90579498,24.26585521,22.27815261,20.4769465,19.58844882,17.8458984,17.10827113,16.52517961,42.69715015
1.17,16.52517961,16.62533662,17.17523482,18.20664053,19.08880094,20.58297829,22.26700598,24.45552302,26.81149922,25.95434229,24.55220026,22.40666108,20.68620179,19.69392879,18.34892448,17.02595092,16.80675961,42.69715015
1.17,12.63008137,13.68078333,15.22297538,16.72163476,18.40216379,20.59139753,23.62330058,25.4606204,27.96922716,26.85501688,25.10918761,23.04534575,21.58887313,20.08467968,19.12181187,18.16701745,17.61815151,43.2241579
1.17,17.61815151,17.70767898,18.39319419,19.10821935,20.10778549,21.80716362,23.48985016,25.92487283,28.4951613,27.4492898,25.37586451,23.46357138,21.90026019,20.24665604,18.93666774,18.00119807,17.66831733,43.2241579
1.17,17.66831733,17.70864761,18.37050763,19.11923523,20.18973409,21.67560523,23.59789912,26.05183954,28.61349271,27.4670141,25.89623563,23.69766601,21.89999693,20.5490062,19.20193126,18.28480816,17.6792155,43.2241579
1.17,11.09929138,12.15131303,13.47415434,15.33049021,16.96470339,18.79038525,21.02791319,23.20012417,25.57940574,24.59810352,23.19054772,20.99752635,19.32091557,17.75650453,16.54487162,16.00867363,15.18132151,42.93970726
1.17,15.17446887,15.26738683,15.89885708,16.48781464,17.74604164,19.41089126,21.03861624,23.52472235,26.11442403,25.4098555,23.38778319,21.67477128,19.93793988,18.56311858,17.18169414,16.4725213,16.03009858,42.93970726
2.03,16.24324073,16.68368732,17.95284288,19.52611566,21.04216854,22.5759395,24.8973227,27.16554839,29.09041657,28.32844539,27.39921914,25.8874458,24.54863087,23.65571357,22.3220756,21.68138628,20.89532873,43.15162091
2.03,20.89532873,21.15507743,21.77533298,22.24816459,22.77182187,24.47407774,25.90247968,27.52620546,29.80372452,28.99305661,27.71439547,26.20526146,25.56084497,23.86586222,22.93162925,21.97731769,21.33197531,43.15162091
2.03,21.33197531,21.49921845,22.3463079,22.91333282,23.62868618,24.80504808,26.41448861,27.82399454,29.67077998,29.15821473,27.9261506,26.56784362,25.483805,24.13831944,23.05271589,22.05636318,21.57089048,43.15162091
2.03,17.2548877,18.04037524,19.22288974,20.44390166,21.92611644,23.73396204,26.26455941,28.21811983,30.09844533,29.60819432,28.5307272,27.12407719,26.3558295,25.06245886,23.91463599,23.00623131,22.45185563,42.89498171
2.03,22.45185563,22.8988795,23.2575585,23.59185999,23.907186,25.53569903,26.75362623,28.23117004,30.06870148,29.82352879,28.79303286,27.43087427,26.33187624,25.34386879,23.90757883,23.16171411,22.66913285,42.89498171
2.03,22.66913285,22.7600016,23.20780758,23.85582546,24.24641755,25.59709028,26.92240424,28.38344844,30.31927323,29.99800337,28.82771753,27.51053516,26.56293944,25.31110678,24.17812885,23.21985317,22.65796495,42.89498171
2.03,17.38531302,18.21264233,19.47740892,20.91390349,22.69552723,24.71959114,26.67022141,28.47353957,30.15086214,29.32381586,28.26855564,27.12776182,26.02854571,25.05780398,24.12425042,23.51565071,22.95828269,42.23742872
2.03,23.44378571,23.55081014,23.71802147,24.36994924,25.12551715,26.0779216,27.48138747,28.86553736,30.65801754,30.06755263,28.65296733,27.24629155,26.42842822,25.66485095,24.63753498,24.11209401,23.78285172,42.23742872
2.46,21.3477983,22.00135823,22.89663656,24.34818626,25.5899878,27.39740043,29.67945026,31.26467889,33.83259888,32.61820211,31.14532878,29.985755,28.72726903,27.57945988,26.92073115,26.10808223,25.70853356,41.50448504
2.46,25.70853356,25.9261588,26.55223468,27.15511429,28.0068168,29.07488199,30.22050612,31.77446454,33.80607616,32.97757173,31.56499189,30.00543372,29.19677618,27.99027336,27.18046238,26.41756798,25.94170096,41.50448504
2.46,25.94170096,26.20065111,26.89204416,27.70707294,28.6725912,29.62143927,31.12499194,32.35941554,33.95612527,33.36381234,31.89241627,30.30277429,29.21035434,28.03886381,26.98145532,26.24994215,25.88696127,41.50448504
2.46,18.94196106,19.61597025,20.32679056,21.62657548,23.11709061,25.91850412,28.07572149,30.0033701,32.45365638,31.69826097,30.3390218,28.91893612,27.64750527,26.63465858,25.90918308,25.29434824,24.91263824,41.79716857
2.46,24.91263824,25.20110033,25.29273114,25.83189466,26.60521083,27.8936835,29.27216089,31.09190073,32.86528251,32.17361583,30.88812391,29.20843786,27.88744741,26.80419785,25.94389347,25.47665151,25.0712335,41.79716857
2.46,25.0712335,25.16244546,25.36177229,25.99731275,26.93495165,28.17725859,29.50958484,31.17849066,32.86696545,32.17781114,31.0437308,29.43297566,27.95770984,27.01416299,26.13950537,25.73460052,25.27278755,41.79716857
2.46,16.80931655,17.48415323,18.9813456,20.13379281,21.34109151,22.64655669,24.78006099,26.66819487,28.60102178,28.07466776,27.04164427,25.79207874,24.86876033,23.57071521,22.52647043,22.02552159,21.74726376,41.89391504
2.46,22.01785999,22.05456771,22.62942179,23.17256656,24.31085314,25.10046804,26.33301041,27.67997647,29.32573666,28.67895601,27.51772948,26.63710013,25.43882308,23.94975957,22.95740582,22.31766762,22.00108606,41.89391504
